Date,Clicks,Impressions,CTR,Position
2026-04-08,1,7,14.29%,111
2026-04-09,3,11,27.27%,69.2
2026-04-10,0,1,0%,1
2026-04-11,0,0,,
2026-04-12,0,2,0%,177.5
2026-04-13,1,4,25%,62.2
2026-04-14,0,2,0%,81
2026-04-15,0,12,0%,82.6
2026-04-16,1,23,4.35%,82.2
2026-04-17,5,16,31.25%,42.2
2026-04-18,2,13,15.38%,46.5
2026-04-19,0,10,0%,86.2
2026-04-20,1,17,5.88%,63.6
2026-04-21,0,20,0%,85.9
2026-04-22,1,6,16.67%,248.7
2026-04-23,0,9,0%,69.4
2026-04-24,1,2,50%,40
2026-04-25,1,4,25%,69.5
2026-04-26,0,3,0%,176.7
2026-04-27,0,2,0%,72
2026-04-28,1,2,50%,109
2026-04-29,1,2,50%,15.5
2026-04-30,0,7,0%,90.4
2026-05-01,0,0,,
2026-05-02,0,2,0%,41
2026-05-03,0,2,0%,103.5
2026-05-04,1,4,25%,143.2
2026-05-05,0,3,0%,85.7
2026-05-06,0,0,,
2026-05-07,0,1,0%,37
2026-05-08,0,0,,
2026-05-09,0,3,0%,143.7
2026-05-10,0,0,,
2026-05-11,0,3,0%,34
2026-05-12,0,1,0%,1
2026-05-13,0,2,0%,83.5
2026-05-14,0,3,0%,111.3
2026-05-15,1,5,20%,37
2026-05-16,0,1,0%,1
2026-05-17,0,1,0%,81
2026-05-18,0,2,0%,81
2026-05-19,0,3,0%,182.3
2026-05-20,0,4,0%,75
2026-05-21,0,2,0%,44.5
2026-05-22,1,4,25%,96
2026-05-23,0,0,,
2026-05-24,1,3,33.33%,62.7
2026-05-25,0,3,0%,82.3
2026-05-26,0,0,,
2026-05-27,0,3,0%,72.7
2026-05-28,0,2,0%,4.5
2026-05-29,0,2,0%,67
2026-05-30,0,1,0%,79
2026-05-31,0,0,,
2026-06-01,0,8,0%,82.1
2026-06-02,0,1,0%,94
2026-06-03,2,6,33.33%,96.5
2026-06-04,0,22,0%,92.8
2026-06-05,1,28,3.57%,88.4
2026-06-06,0,33,0%,107.3
2026-06-07,0,18,0%,102
2026-06-08,0,11,0%,98
2026-06-09,1,8,12.5%,90.6
2026-06-10,0,1,0%,94
2026-06-11,0,6,0%,89.7
2026-06-12,0,4,0%,86
2026-06-13,0,1,0%,99
2026-06-14,1,5,20%,73.8
2026-06-15,0,5,0%,84.8
2026-06-16,0,3,0%,83
2026-06-17,0,4,0%,81.2
2026-06-18,0,0,,
2026-06-19,0,1,0%,73
2026-06-20,0,0,,
2026-06-21,0,0,,
2026-06-22,0,4,0%,78.5
2026-06-23,0,0,,
2026-06-24,0,3,0%,79.7
2026-06-25,0,4,0%,77
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,3,0%,81
2026-06-30,0,4,0%,119.2
2026-07-01,0,8,0%,77.6
2026-07-02,0,0,,
2026-07-03,0,6,0%,98.3
2026-07-04,0,6,0%,72
2026-07-05,0,6,0%,78.8
2026-07-06,0,5,0%,78.4
2026-07-07,0,3,0%,72.7
