Country,Clicks,Impressions,CTR,Position
India,11,52,21.15%,52.65
Bangladesh,6,24,25%,161
Indonesia,3,7,42.86%,8.71
United States,2,195,1.03%,91.83
Germany,1,30,3.33%,73.5
United Kingdom,1,22,4.55%,82.09
Nigeria,1,11,9.09%,91.09
Egypt,1,4,25%,121
Pakistan,1,3,33.33%,142
Saudi Arabia,1,1,100%,1
Spain,0,14,0%,82.71
Italy,0,13,0%,90.69
Romania,0,11,0%,76.45
Russia,0,9,0%,75.11
Ukraine,0,6,0%,77.67
Norway,0,5,0%,158.6
Belgium,0,4,0%,115.25
Canada,0,3,0%,54.67
Czechia,0,3,0%,81.67
France,0,2,0%,39
Brazil,0,2,0%,48
Netherlands,0,2,0%,70.5
Hungary,0,2,0%,77
Vietnam,0,2,0%,79
Greece,0,2,0%,82
United Arab Emirates,0,2,0%,87
Israel,0,2,0%,93.5
Thailand,0,2,0%,133.5
Turkey,0,1,0%,1
Ecuador,0,1,0%,4
Puerto Rico,0,1,0%,6
Tajikistan,0,1,0%,8
Algeria,0,1,0%,19
Iran,0,1,0%,31
Ireland,0,1,0%,47
Portugal,0,1,0%,61
Sweden,0,1,0%,65
New Zealand,0,1,0%,66
Mexico,0,1,0%,72
Lebanon,0,1,0%,81
Australia,0,1,0%,85
Japan,0,1,0%,91
Austria,0,1,0%,94
Cyprus,0,1,0%,97
Trinidad & Tobago,0,1,0%,99
