Top queries,Clicks,Impressions,CTR,Position
shorten link free,1,24,4.17%,86.42
alias url shortener,1,2,50%,572.5
shortenn,1,1,100%,1
free shorten url link,1,1,100%,92
shorten,0,47,0%,75.85
bulk url shortener,0,29,0%,78.31
shorten url,0,21,0%,95.38
shorten url free,0,19,0%,83.16
shorten link,0,17,0%,93.24
free shorten,0,12,0%,80.58
bulk url shortener free,0,11,0%,75.45
url shortener free,0,10,0%,88.1
bulk link shortener,0,9,0%,79.22
shorten urls free,0,9,0%,89
shorten a link,0,9,0%,146.56
shorten web,0,7,0%,85.29
shorten url link free,0,6,0%,85.17
shortener,0,5,0%,77.2
shorten url for free,0,5,0%,84.6
free url shortener,0,5,0%,94.4
free link shortener,0,5,0%,96.2
shortens,0,4,0%,71
free bulk url shortener,0,4,0%,78.5
shortener free,0,4,0%,92
shorten links,0,4,0%,96
free shortener,0,4,0%,96.75
"""url shortener""",0,4,0%,229.75
shortern,0,3,0%,53.33
multi url shortener,0,3,0%,84.33
shorten links for free,0,3,0%,87.67
free shorten url,0,3,0%,89.33
mass url shortener,0,3,0%,90
shorten links free,0,3,0%,93.67
shortener url free,0,3,0%,95
/shorten?url=,0,3,0%,178
url shortener,0,2,0%,33.5
url shortener bulk,0,2,0%,76.5
shorten link for free,0,2,0%,79
free url link shortener,0,2,0%,85
shorten up,0,2,0%,86
shorten website,0,2,0%,88
shorten url's,0,2,0%,92
free link shortening,0,2,0%,93
shorten services,0,2,0%,94
shortlink free,0,2,0%,95.5
link shortener free,0,2,0%,96
free url shortening,0,1,0%,39
shotlink free,0,1,0%,50
shortearn,0,1,0%,71
shortn,0,1,0%,72
shorten url links free,0,1,0%,76
shorten url generator,0,1,0%,82
shorten url tool,0,1,0%,84
shortening url free,0,1,0%,84
multiple url shortener,0,1,0%,85
shorten a link free,0,1,0%,87
shorten urls for free,0,1,0%,87
shortn link,0,1,0%,88
free shortener url,0,1,0%,89
shorten url link,0,1,0%,89
shortener link,0,1,0%,91
free mass url submission,0,1,0%,92
shorten my url for free,0,1,0%,92
free url shortener service,0,1,0%,93
shortenlink,0,1,0%,93
url shortener online free,0,1,0%,94
url shortner free,0,1,0%,94
shortened,0,1,0%,95
shortform url,0,1,0%,95
url shortnener,0,1,0%,95
urlshotner,0,1,0%,95
shirten url,0,1,0%,97
shortner link,0,1,0%,97
shortener link free,0,1,0%,98
shorten web link,0,1,0%,100
shorteners,0,1,0%,100
